Client ID,Sales Person ID,Team,Actual Sales,Collection,product_id
4905,2013040001,G2,103068899.1,85720787.61,10
2251,2012090001,G2,72681854.82,68588447.34,10
5709,2019050002,N1,49979247.85,47707378.5,10
5440,2018120001,G2,48853118.31,46490478,10
5797,2021050006,N3,48516711.25,53562333,10
6326,2013110002,N1,46401610.63,46401874,10
5395,2012010001,N3,43838283.58,42516665,10
2678,2015080005,N3,38785898.42,33026007,10
2746,2021050006,N3,38411457.78,24063000,10
5759,2012050001,G2,37282622.62,37283000,10
6037,2021010014,N3,37113204.05,33875519,10
5988,2022020018,N3,35327036.21,35326973.06,10
4482,2019050002,N1,30132980.33,26791579,10
5870,2019050002,N1,30011555.02,28771802,10
3410,2020030013,N3,29879546.65,31252304,10
5780,2017100001,N1,28810176.03,28810075,10
5004,2019050002,N1,27153560.81,23348267,10
3697,2017100003,N1,25453815.05,27000578,10
6269,2019050002,N1,23819515.91,23333045,10
5918,2019100035,N1,23513477.13,10429158.1,10
5917,2017090008,N3,22109222.36,22109746.25,10
5201,2019050002,N1,22025210.04,22968454,10
2070,2012010001,N3,21719701.09,22273507,10
5731,2020030013,N3,20818997.78,28222887.68,10
2168,2017090008,N3,21182154.51,21298282,10
6301,2020080002,U2,19820054.99,20287234,10
5968,2019040002,N3,19472301.71,19472036,10
5029,2019050002,N1,18543590.41,18349193,10
3499,2021100029,N2,18539343.56,10481241,10
5853,2021050006,N3,18215610.7,18239873,10
2340,2018010005,N1,17947220.19,12781300.49,10
5157,2019050002,N1,17806377.08,22818435,10
5017,2019050002,N1,17336412.12,15437237,10
3699,2017100003,N1,17019782.39,15018968.03,10
7145,2015080005,N3,15626271.47,2761944,10
4433,2018020009,N3,15108123.81,14779233,10
6207,2020080002,U2,15195922.53,11457121.89,10
6524,2022020018,N3,14550000.28,14550000,10
3592,2012080003,N1,14165081.61,14155891.19,10
2138,2012090001,G2,13891686.49,13892514.4,10
5096,2011110002,N1,13555146.66,22093545,10
4362,2021100029,N2,13494951.02,12989850,10
6034,2015080005,N3,12923506.12,12922278,10
4527,2018020009,N3,12989621.18,10989628,10
5766,2020030013,N3,12433748.26,12434021,10
5552,2021010005,G2,12349982.04,10336921,10
4868,2019040002,N3,11749092.8,10980000,10
5081,2012050001,G2,12055163.92,10508769,10
6188,2018020009,N3,12001180.18,12001188,10
5992,2020030012,N2,11882465.45,11882463,10
5158,2019050002,N1,11718354.95,5694872,10
6303,2021100029,N2,11473068.16,11495479,10
5493,2016010001,N2,11199102.67,10646260,10
5866,2019050002,N1,10709335.87,9443862,10
5010,2019050002,N1,10421247.2,9105887,10
4557,2019040002,N3,10237208.72,10237147,10
4692,2021010005,G2,10087786.29,8728758,10
6578,2018120001,G2,10115007.56,10115000,10
5374,2017090008,N3,9283468.71,9714565,10
5916,2018020009,N3,9754409.55,9735000,10
6764,2020080002,U2,9850000,9850000,10
5911,2021010006,N2,9841045.17,9797536,10
6091,2021020001,N1,9790018.92,9440891,10
6745,2017090008,N3,9268351.74,5386405,10
2220,2017050001,N3,9435470.7,10661894,10
6216,2019040002,N3,9258057.89,9248612,10
5444,2018120010,G2,9193872.91,7868938,10
6847,2019040002,N3,9109901.25,9109901,10
4004,2018020009,N3,9013719.87,12309011,10
3815,2017090001,G2,9001150.12,8104881,10
2699,2012090001,G2,8896923.52,11382050,10
4943,2020030012,N2,8852314.21,8424799,10
3088,2017090001,G2,8130204.23,6823124,10
2307,2012100002,G2,8642757.67,13771759.4,10
5868,2019050002,N1,8559009.46,8520497,10
4863,2018120001,G2,8431380.67,17532351,10
6314,2015080005,N3,8459755.92,8460221,10
5873,2021010016,N3,8457457.38,5003246,10
6557,2019040002,N3,8426929.7,15178483,10
5526,2020080002,U2,8033300.27,8038380,10
3477,2012010001,N3,7769001.42,7968758,10
3029,2012010001,N3,7733646.96,4489983,10
6190,2018020009,N3,7693791.75,7693792,10
6664,2019040002,N3,7689150.35,7689300,10
5896,2017090001,G2,7596714.59,7246776,10
3447,2017100001,N1,6594676.83,6679692,10
3855,2019050002,N1,7581976.44,6239634,10
4218,2018020009,N3,7573175.79,7572282,10
7322,2021050006,N3,7558192.38,0,10
6103,2019040002,N3,7547700.02,7547693,10
2860,2012010001,N3,7419801.68,10133358.52,10
5001,2019050002,N1,7395863.04,7064993,10
2034,2011110002,N1,7373447.81,5835100,10
4483,2021010016,N3,7350946.04,6633568,10
6146,2013040001,G2,6848998.21,6845199,10
5946,2019040002,N3,6190660.12,5743549,10
3851,2015080005,N3,6935127.26,6712185,10
5963,2021010014,N3,6736903.9,4500000,10
5893,2021020001,N1,6728457.95,6671487,10
6202,2019040002,N3,6690536.2,6700000,10
6942,2021100029,N2,6590100.28,4595000,10
6467,2021110011,U2,6566777,4734889,10
6650,2021050006,N3,6549662.88,5159244,10
6238,2021020001,N1,6532905.89,6535900,10
7148,2013110002,N1,6518754.29,6479594,10
6358,2022010005,N3,6475213.71,6194081,10
5454,2019100035,N1,6370556.1,6351630,10
2807,2012010001,N3,6352805.86,2589565,10
6176,2020030006,N3,6338751,3438830,10
6458,2021010006,N2,6190408.72,5640046,10
5111,2019050002,N1,6173131.33,7328386,10
6175,2019040002,N3,6126586.27,4439597,10
6100,2018070019,N3,6115688.52,6115550,10
6639,2017090001,G2,6108327.44,4618626,10
5138,2021100029,N2,6093622.19,4734344,10
6576,2021020001,N1,5699742.94,5699547,10
6194,2019040002,N3,5881155,5880845,10
3645,2017090001,G2,5797240.24,4712696,10
6933,2012010001,N3,5714394.55,0,10
4964,2020030013,N3,5646200.7,5651497,10
5026,2018120010,G2,5641516.85,5489731,10
6744,2017090008,N3,5574674.83,5574546,10
6189,2018020009,N3,5540288.45,4818124,10
6128,2022020018,N3,5536766.77,6036800,10
2992,2012090001,G2,5509448.61,4617128,10
2676,2021010025,N1,5465369.79,5495202,10
2689,2012010001,N3,5463550.45,5905767,10
6139,2017050001,N3,5345448.39,4230268,10
6017,2019100035,N1,5345548.87,2970429,10
6122,2017050001,N3,5290382.43,5290384,10
6812,2020030006,N3,5207029.35,5206269,10
3744,2011110002,N1,5203291.92,5233652,10
5484,2021010004,N2,5174615.22,5174386,10
2730,2017090001,G2,5162901.74,4382029,10
6243,2021010005,G2,5150833.63,5150836,10
4492,2021100029,N2,5142531.05,4762316,10
6668,2021100029,N2,5122650.05,5122580,10
2382,2013110002,N1,5028744.81,5718582,10
5165,2013040001,G2,4942468.95,4723005,10
4798,2013110002,N1,4941079.03,5251201,10
7291,2019040002,N3,4902530.24,2377668,10
4977,2021010014,N3,4887451.08,3396492,10
6951,2018020009,N3,4793205.9,4793196,10
6059,2018120001,G2,4777286.31,3024925,10
6021,2012080003,N1,4744331.17,4744332,10
6195,2017090008,N3,4610315.43,4610492,10
3032,2015080005,N3,4723656.91,4111191,10
2633,2012090001,G2,4717228.94,9892938,10
6186,2019040002,N3,4701855.7,4100000,10
6969,2021010025,N1,4240407.92,4011501,10
6052,2015080005,N3,4264478.14,4028355.7,10
6167,2019040002,N3,4482410.53,4481500,10
5912,2012010001,N3,4455924.5,4455925,10
6970,2020030012,N2,4449588.86,2225000,10
6161,2021010006,N2,4377890.42,4377887,10
4329,2021010016,N3,4293432.26,3118056,10
5634,2021020001,N1,4255713.16,4251215,10
2457,2012010001,N3,4241957.68,5797575.94,10
2803,2012010001,N3,4224765.35,4165164,10
6407,2021110045,G2,4207530.85,1253132,10
7019,2021020001,N1,4204547.78,4204549,10
6846,2018020009,N3,4175010,682890,10
5737,2017090001,G2,4156264.62,3665476,10
5764,2021010004,N2,4084416.34,4446393,10
4667,2012010001,N3,4046340.73,5477788,10
6914,2018020009,N3,3694688.96,3694689,10
5419,2011110002,N1,3995074.35,3883686,10
4644,2012080003,N1,3977254.79,10102337.52,10
5412,2020030012,N2,3971096.12,3810124,10
6767,2017090008,N3,3968401.81,3191500,10
3157,2021100029,N2,3929183.24,4386215,10
6747,2022020018,N3,3920884.84,3920000,10
4573,2017100003,N1,3918158.12,5411301.2,10
4605,2021120007,N2,3905839.49,3909930,10
3968,2012050001,G2,3869193,3767913,10
6095,2020030006,N3,3865001.13,3865001,10
5436,2017090008,N3,3848306.14,3784392,10
7036,2022020006,N3,3846921,1000000,10
7122,2017090008,N3,3820153.48,3820000,10
4707,2012100002,G2,3795300.32,4740308,10
6271,2019100035,N1,3772298.57,3322283,10
6096,2017100001,N1,3765217.75,2669840,10
7046,2019100035,N1,3720517.84,3719669,10
3713,2011110002,N1,3710174,4577500.5,10
5503,2019100035,N1,3663866.35,3206099,10
6049,2017090008,N3,3660161.51,3569066,10
5690,2020030006,N3,3639109.18,3639519,10
5596,2017090039,N3,3611014.61,3530113,10
6220,2021010016,N3,3604217.5,3603414,10
5197,2020030012,N2,3601967.44,3382000,10
3931,2022010027,G2,3599569.02,3659219,10
6384,2021100029,N2,3525456.28,2206434,10
3905,2017050001,N3,3487179.43,3487179.43,10
5520,2022020018,N3,3438841.46,1890000,10
6382,2021020001,N1,3425689.06,3146965,10
3235,2012010001,N3,3416570.5,3256279,10
7071,2021010020,U2,3410001.11,3410000,10
2027,2013110002,N1,3386873.92,3205298,10
3142,2012050001,G2,3363149.02,3234337,10
6191,2018020009,N3,3353979.9,3353980,10
6834,2018120010,G2,3349074.51,3349076,10
3982,2017100001,N1,3322613.38,3800963,10
5756,2021010025,N1,3145370.64,3148100,10
5102,2019040002,N3,3315569.74,2731004,10
6105,2021100029,N2,3310226.24,3258315,10
7060,2021120007,N2,3284074.78,3284752,10
6677,2017100003,N1,3266906.29,1735319,10
3491,2017090001,G2,3229029.76,3801419,10
3842,2017090008,N3,3094020.31,2757774,10
5311,2019100035,N1,3181969.61,3182130,10
2136,2017090001,G2,3084152.53,3039158,10
5437,2020030012,N2,3051232.01,3567907,10
7125,2022010005,N3,3043291.42,1000000,10
5462,2018070019,N3,3036295.98,5054932,10
6480,2021010006,N2,3021708.95,1054250,10
6224,2021010025,N1,3005278.64,2547855.14,10
5716,2017100001,N1,2995062.18,2995062,10
5400,2019050002,N1,2882603.78,2961819,10
2620,2022020018,N3,2862005.96,2500000,10
6905,2022020006,N3,2859836.64,2859836,10
5294,2012010001,N3,2845084.17,2444654,10
6549,2017090008,N3,2841138,2267720,10
5905,2022020001,N2,2819922.65,2768713.67,10
6274,2013040001,G2,2816721.1,1223668,10
6441,2021050006,N3,2812649.7,2812650,10
6597,2021110011,U2,2647503.33,2631367,10
5393,2017100003,N1,2799703.1,3505360,10
6428,2021100043,N3,2795021.37,2795019,10
3720,2017090001,G2,2783082.8,3570342,10
5871,2018010005,N1,2781758.57,2677835,10
6653,2012080003,N1,2780685.04,2780686,10
6047,2017050001,N3,2780324.29,2780526,10
3160,2013110002,N1,2770556.67,2865257.2,10
6296,2017090008,N3,2758439.24,2737000,10
7033,2017050001,N3,2754267.6,2754268,10
6084,2017090039,N3,2741639.99,2741640,10
5347,2020030013,N3,2710562.8,2710518,10
5924,2017090001,G2,2696593.63,2696392,10
6182,2012050001,G2,2690332,2671537,10
5113,2022010005,N3,2689680.82,2907494,10
6684,2021110045,G2,2644229.83,2644229,10
6711,2012080003,N1,2625689.15,2625688,10
2154,2012010001,N3,2620945.98,2620947,10
5615,2021020001,N1,2610484.17,2610500,10
6227,2021010006,N2,2606593.68,2606596,10
4425,2012100002,G2,2577719.35,1888468,10
7077,2022020001,N2,2564813.65,2460696,10
6192,2018020009,N3,2556917.26,2556917,10
5748,2017100003,N1,2554321.11,2824746,10
6492,2022020001,N2,2440770.24,2402893,10
2758,2021110045,G2,2516249.38,2965026,10
6295,2017090008,N3,2484994.47,2385000,10
6212,2021100029,N2,2468998.12,2465698,10
6277,2017090001,G2,2450533.29,1955797,10
5055,2018120010,G2,2439898.03,2374881,10
6927,2019040002,N3,2428185.73,1887200,10
3761,2017090001,G2,2398502.8,2398509,10
6620,2019040002,N3,2380914.8,2638000,10
5401,2018120010,G2,2279123.71,2271249,10
5509,2019100035,N1,2293843.02,2293469,10
5298,2020120015,N3,2362883.61,1844473.4,10
3359,2012050001,G2,2351614.75,2253083,10
6263,2020030012,N2,2343079.96,2230787,10
5320,2018010005,N1,2321940.07,2322151,10
3714,2021010016,N3,2321100.43,2260886.58,10
4149,2017090039,N3,2300792.12,2300792,10
3171,2021010004,N2,2311422.23,1890488,10
4791,2013110002,N1,2311324.4,2311057,10
5474,2013110002,N1,2308868.85,2308867,10
6827,2022020018,N3,2292370.36,1165000,10
3759,2016010001,N2,2272712.03,1546837,10
3642,2012050001,G2,2272185.65,1877794,10
7009,2012050001,G2,2243010,0,10
3326,2021120007,N2,2241004.7,1371035,10
4911,2018010005,N1,2238733.08,2238733,10
5418,2017090001,G2,2236613,2957851,10
4954,2017090039,N3,2235152.4,2286193.42,10
6840,2021020001,N1,2232203.18,2232223,10
6362,2012100002,G2,2228958.74,2119804.74,10
5860,2017100003,N1,2218365.06,2218363,10
6984,2019100035,N1,2210041.93,2203290,10
4631,2018120010,G2,2203116.17,1396602,10
6562,2022020001,N2,2156586.3,2114015,10
6756,2021010005,G2,2145587.49,1890860,10
6689,2022020006,N3,2130825.83,500000,10
5900,2012050001,G2,2129996.42,2129994.51,10
6648,2012080003,N1,2121266.71,2119860,10
5339,2020120015,N3,2081785.8,2366786,10
7274,2020030012,N2,2087034.87,757000,10
4432,2020030012,N2,2079952.8,2093698,10
6822,2019050002,N1,2077452.57,1113900,10
3710,2017090001,G2,2069661.46,1673544,10
5174,2017090039,N3,2067579.01,1431160,10
5045,2017100003,N1,2008874.33,2044773.29,10
6829,2012100002,G2,1880950.13,1831879,10
6513,2020030006,N3,2044013.59,2044013,10
6388,2018070019,N3,2039458.64,2039400,10
4936,2017100001,N1,2038786.32,2313826,10
5316,2019050002,N1,2038328.62,2094498,10
6201,2021100029,N2,2020126.29,1974095,10
6556,2021010025,N1,2008082.38,2008000,10
4354,2018120010,G2,1998122.42,1900000,10
5667,2019100035,N1,1993764.64,3658657,10
7123,2021050006,N3,1971969.84,1971970,10
6572,2018020009,N3,1952908.36,1952940,10
3725,2017050001,N3,1948793.36,1718951,10
6662,2020030006,N3,1946810.48,1946991,10
3023,2012090001,G2,1939409.89,1560400,10
6946,2019040002,N3,1930882.98,1578857,10
6816,2017100001,N1,1919990.34,1920000,10
6919,2021010006,N2,1918672.02,1915193,10
5733,2017100003,N1,1904364.6,2270004,10
6918,2021010020,U2,1892776.83,1892779,10
6655,2018020009,N3,1878447,1797078,10
